LTTRY_PROJ_NO,TOTAL_HH_INCOME,HH_SIZE,TOTAL_HH_INCOME_count,HH_SIZE_count,TOTAL_HH_INCOME_max,HH_SIZE_max,TOTAL_HH_INCOME_min,HH_SIZE_min
150,33803.430901901236,1.9140866873065014,25036,25840,7800000.0,10,0.0,1
170,30693.21338947227,2.0041948910470904,58189,61265,7800000.0,9,0.0,1
171,28956.262874940847,1.8646182455078166,44387,46247,7800000.0,9,0.0,1
172,33681.713990532284,1.8870457093859243,86610,90966,7800000.0,9,0.0,1
173,31256.141018758506,1.9871538435010518,55548,57994,7800000.0,9,0.0,1
174,31124.097165848514,1.8329772771411925,29949,30894,7800000.0,9,0.0,1
175,33966.05290195758,1.8706652209477068,50876,52569,7800000.0,9,0.0,1
176,34601.5700058422,1.9026442124514211,63332,65615,7800000.0,10,0.0,1
178,31704.102067181022,1.7983962346378455,33432,34419,7800000.0,9,0.0,1
179,33162.946229826215,2.0154290053151103,63387,65850,7800000.0,10,0.0,1
180,30967.16095410706,1.8988126824091272,29242,30152,7800000.0,9,0.0,1
181,31040.741776150295,2.028616221525443,50525,52942,2522140.0,10,0.0,1
182,33786.5841419176,1.9268192030812967,42123,43618,3244800.0,10,0.0,1
183,34342.642891447096,1.8660232012215967,83830,87754,7800000.0,14,0.0,1
185,34866.63704323362,1.9887403834723094,56900,58883,3244800.0,10,0.0,1
186,31939.457510211792,1.9351678511059816,52880,55019,3244800.0,10,0.0,1
187,32592.467481847787,2.0150840644854564,22449,23137,3244800.0,10,0.0,1
188,34682.45393449471,1.9255770905923344,35814,36736,3244800.0,10,0.0,1
189,35190.15441128674,1.725498613129045,58475,60568,3244800.0,10,0.0,1
192,35077.49392391698,1.9734299041508394,49262,50809,1872000.0,10,0.0,1
193,35353.6414391616,1.8666740784662517,77969,80952,1872000.0,10,0.0,1
194,33528.34243543814,1.9416227431337825,90107,95431,31279300.0,10,0.0,1
195,34527.664662990406,1.887243992097827,38990,39989,3244800.0,10,0.0,1
196,33561.81835632356,2.0661853188929,45599,47367,1820000.0,10,0.0,1
198,32977.87035918653,1.9905936217955982,42290,44119,31279300.0,10,0.0,1
199,33117.15861911053,2.0806978324237844,43892,45627,31279300.0,10,0.0,1
